task_id,fold
matplotlib__matplotlib-26466,2
mwaskom__seaborn-3069,2
mwaskom__seaborn-3187,3
pallets__flask-5014,2
psf__requests-1142,0
psf__requests-1724,2
psf__requests-1766,3
psf__requests-1921,4
psf__requests-2317,2
psf__requests-2931,4
psf__requests-5414,2
psf__requests-6028,2
pydata__xarray-2905,2
pydata__xarray-3095,2
pydata__xarray-3151,3
pydata__xarray-3305,1
pydata__xarray-3677,2
pydata__xarray-3993,4
pydata__xarray-4075,0
pydata__xarray-4094,2
pydata__xarray-4356,4
pydata__xarray-4629,2
pydata__xarray-4687,4
pydata__xarray-4695,4
pydata__xarray-4966,2
pydata__xarray-6461,3
pydata__xarray-6599,0
pydata__xarray-6721,4
pydata__xarray-6744,2
pydata__xarray-6938,4
pydata__xarray-6992,0
pydata__xarray-7229,0
pydata__xarray-7233,1
pydata__xarray-7393,4
pylint-dev__pylint-4551,1
pylint-dev__pylint-4604,0
pylint-dev__pylint-4661,1
pylint-dev__pylint-4970,0
pylint-dev__pylint-6386,0
pylint-dev__pylint-6528,3
pylint-dev__pylint-6903,3
pylint-dev__pylint-7080,3
pylint-dev__pylint-7277,4
pylint-dev__pylint-8898,1
pytest-dev__pytest-10051,4
pytest-dev__pytest-10081,1
pytest-dev__pytest-10356,1
pytest-dev__pytest-5262,0
pytest-dev__pytest-5631,0
pytest-dev__pytest-5787,1
pytest-dev__pytest-5809,0
pytest-dev__pytest-5840,3
pytest-dev__pytest-6197,2
pytest-dev__pytest-6202,4
pytest-dev__pytest-7205,2
pytest-dev__pytest-7236,0
pytest-dev__pytest-7324,3
pytest-dev__pytest-7432,4
pytest-dev__pytest-7490,4
pytest-dev__pytest-7521,4
pytest-dev__pytest-7571,2
pytest-dev__pytest-7982,0
pytest-dev__pytest-8399,4
scikit-learn__scikit-learn-10297,3
scikit-learn__scikit-learn-10844,4
scikit-learn__scikit-learn-10908,2
scikit-learn__scikit-learn-11310,0
scikit-learn__scikit-learn-11578,2
scikit-learn__scikit-learn-12585,2
scikit-learn__scikit-learn-12682,2
scikit-learn__scikit-learn-12973,0
scikit-learn__scikit-learn-13124,1
scikit-learn__scikit-learn-13135,2
scikit-learn__scikit-learn-13142,4
scikit-learn__scikit-learn-13328,2
scikit-learn__scikit-learn-13439,0
scikit-learn__scikit-learn-13496,0
scikit-learn__scikit-learn-13779,4
scikit-learn__scikit-learn-14053,2
scikit-learn__scikit-learn-14087,1
scikit-learn__scikit-learn-14141,4
scikit-learn__scikit-learn-14496,1
scikit-learn__scikit-learn-14629,2
scikit-learn__scikit-learn-14710,1
scikit-learn__scikit-learn-14894,3
scikit-learn__scikit-learn-14983,0
scikit-learn__scikit-learn-15100,4
scikit-learn__scikit-learn-25102,1
scikit-learn__scikit-learn-25232,0
scikit-learn__scikit-learn-25747,1
scikit-learn__scikit-learn-25931,2
scikit-learn__scikit-learn-25973,0
scikit-learn__scikit-learn-26194,3
scikit-learn__scikit-learn-26323,3
scikit-learn__scikit-learn-9288,2
sphinx-doc__sphinx-10323,0
sphinx-doc__sphinx-10435,2
sphinx-doc__sphinx-10449,3
sphinx-doc__sphinx-10466,0
sphinx-doc__sphinx-10614,4
sphinx-doc__sphinx-10673,2
sphinx-doc__sphinx-11445,4
sphinx-doc__sphinx-11510,0
sphinx-doc__sphinx-7440,4
sphinx-doc__sphinx-7454,1
sphinx-doc__sphinx-7462,0
sphinx-doc__sphinx-7590,2
sphinx-doc__sphinx-7748,2
sphinx-doc__sphinx-7757,0
sphinx-doc__sphinx-7889,2
sphinx-doc__sphinx-7910,2
sphinx-doc__sphinx-7985,3
sphinx-doc__sphinx-8035,3
sphinx-doc__sphinx-8056,2
sphinx-doc__sphinx-8120,1
sphinx-doc__sphinx-8265,4
sphinx-doc__sphinx-8269,3
sphinx-doc__sphinx-8459,3
sphinx-doc__sphinx-8475,1
sphinx-doc__sphinx-8548,1
sphinx-doc__sphinx-8551,0
sphinx-doc__sphinx-8593,2
sphinx-doc__sphinx-8595,0
sphinx-doc__sphinx-8621,0
sphinx-doc__sphinx-8638,0
sphinx-doc__sphinx-8721,3
sphinx-doc__sphinx-9229,3
sphinx-doc__sphinx-9230,4
sphinx-doc__sphinx-9258,0
sphinx-doc__sphinx-9281,0
sphinx-doc__sphinx-9320,2
sphinx-doc__sphinx-9367,1
sphinx-doc__sphinx-9461,2
sphinx-doc__sphinx-9591,4
sphinx-doc__sphinx-9602,2
sphinx-doc__sphinx-9658,3
sphinx-doc__sphinx-9673,3
sphinx-doc__sphinx-9698,1
sphinx-doc__sphinx-9711,3
sympy__sympy-11618,3
sympy__sympy-12096,1
sympy__sympy-12419,4
sympy__sympy-12481,1
sympy__sympy-12489,3
sympy__sympy-13031,3
sympy__sympy-13091,0
sympy__sympy-13372,2
sympy__sympy-13480,1
sympy__sympy-13551,3
sympy__sympy-13615,4
sympy__sympy-13647,2
sympy__sympy-13757,1
sympy__sympy-13798,0
sympy__sympy-13852,2
sympy__sympy-13877,0
sympy__sympy-13878,4
sympy__sympy-13974,2
sympy__sympy-14248,4
sympy__sympy-14531,2
sympy__sympy-14711,4
sympy__sympy-14976,3
sympy__sympy-15017,2
sympy__sympy-15345,3
sympy__sympy-15349,2
sympy__sympy-15599,0
sympy__sympy-15809,0
sympy__sympy-15875,3
sympy__sympy-15976,1
sympy__sympy-16450,1
sympy__sympy-16597,0
sympy__sympy-16766,4
sympy__sympy-16792,4
sympy__sympy-16886,4
sympy__sympy-17139,4
sympy__sympy-17318,3
sympy__sympy-17630,0
sympy__sympy-17655,1
sympy__sympy-18189,3
sympy__sympy-18199,1
sympy__sympy-18211,0
sympy__sympy-18698,4
sympy__sympy-18763,2
sympy__sympy-19040,3
sympy__sympy-19346,2
sympy__sympy-19495,1
sympy__sympy-19637,1
sympy__sympy-19783,0
sympy__sympy-19954,4
sympy__sympy-20154,2
sympy__sympy-20428,0
sympy__sympy-20438,3
sympy__sympy-20590,0
sympy__sympy-20801,2
sympy__sympy-20916,1
sympy__sympy-21379,4
sympy__sympy-21596,2
sympy__sympy-21612,4
sympy__sympy-21847,0
sympy__sympy-21930,3
sympy__sympy-22080,0
sympy__sympy-22456,4
sympy__sympy-22714,2
sympy__sympy-22914,4
sympy__sympy-23262,1
sympy__sympy-23413,0
sympy__sympy-23534,0
sympy__sympy-23824,4
sympy__sympy-23950,1
sympy__sympy-24066,0
sympy__sympy-24213,0
sympy__sympy-24443,4
sympy__sympy-24539,0
sympy__sympy-24562,3
sympy__sympy-24661,4
