run_id,task_id,agent_id,model_id,model_family,label,n_steps,exit_status
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-14539,astropy__astropy-14539,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,8,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-14598,astropy__astropy-14598,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,30,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-14995,astropy__astropy-14995,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,24,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-7166,astropy__astropy-7166,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,16,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-7336,astropy__astropy-7336,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,11,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-7606,astropy__astropy-7606,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,11,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-7671,astropy__astropy-7671,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,13,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-8707,astropy__astropy-8707,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,11,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-8872,astropy__astropy-8872,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,33,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-10097,django__django-10097,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,8,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-10554,django__django-10554,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,28,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-10880,django__django-10880,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,10,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-10914,django__django-10914,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,19,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-10973,django__django-10973,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,5,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-10999,django__django-10999,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,16,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11066,django__django-11066,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,5,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11087,django__django-11087,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,12,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11095,django__django-11095,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,7,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11099,django__django-11099,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,14,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11119,django__django-11119,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,9,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11133,django__django-11133,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,19,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11138,django__django-11138,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,24,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11141,django__django-11141,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,19,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11149,django__django-11149,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,14,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11163,django__django-11163,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,10,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11179,django__django-11179,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,5,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11206,django__django-11206,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,11,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11211,django__django-11211,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,19,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11239,django__django-11239,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,60,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11265,django__django-11265,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,13,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11276,django__django-11276,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,18,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11292,django__django-11292,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,16,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11299,django__django-11299,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,24,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11333,django__django-11333,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,11,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11400,django__django-11400,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,28,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11433,django__django-11433,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,11,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11451,django__django-11451,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,5,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11477,django__django-11477,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,16,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11490,django__django-11490,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,20,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11532,django__django-11532,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,10,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11551,django__django-11551,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,9,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11555,django__django-11555,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,18,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11603,django__django-11603,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,8,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11728,django__django-11728,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,19,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11734,django__django-11734,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,35,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11740,django__django-11740,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,17,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11749,django__django-11749,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,16,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11790,django__django-11790,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,13,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11815,django__django-11815,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,8,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11820,django__django-11820,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,10,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11848,django__django-11848,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,8,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11880,django__django-11880,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,14,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11885,django__django-11885,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,28,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11951,django__django-11951,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,9,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11964,django__django-11964,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,41,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11999,django__django-11999,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,20,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-12039,django__django-12039,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,6,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-12050,django__django-12050,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,12,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-12125,django__django-12125,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,28,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-12143,django__django-12143,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,12,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-12155,django__django-12155,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,8,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-12193,django__django-12193,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,14,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-12209,django__django-12209,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,15,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-12262,django__django-12262,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,13,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-12273,django__django-12273,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,19,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-12276,django__django-12276,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,15,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-12304,django__django-12304,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,9,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-12308,django__django-12308,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,17,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-12325,django__django-12325,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,40,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-12406,django__django-12406,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,28,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-12419,django__django-12419,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,17,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-12663,django__django-12663,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,39,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-12708,django__django-12708,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,21,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-12713,django__django-12713,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,8,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-12741,django__django-12741,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,12,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-12754,django__django-12754,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,27,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-12774,django__django-12774,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,15,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-12858,django__django-12858,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,32,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-12965,django__django-12965,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,26,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13012,django__django-13012,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,25,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13023,django__django-13023,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,12,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13028,django__django-13028,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,14,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13033,django__django-13033,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,33,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13089,django__django-13089,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,5,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13109,django__django-13109,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,14,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13112,django__django-13112,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,26,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13121,django__django-13121,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,17,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13128,django__django-13128,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,16,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13158,django__django-13158,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,12,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13195,django__django-13195,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,25,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13212,django__django-13212,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,26,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13279,django__django-13279,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,17,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13297,django__django-13297,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,8,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13315,django__django-13315,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,8,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13343,django__django-13343,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,17,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13344,django__django-13344,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,13,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13346,django__django-13346,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,12,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13363,django__django-13363,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,7,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13401,django__django-13401,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,21,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13406,django__django-13406,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,29,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13410,django__django-13410,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,8,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13417,django__django-13417,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,18,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13449,django__django-13449,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,33,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13512,django__django-13512,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,20,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13513,django__django-13513,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,16,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13516,django__django-13516,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,51,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13551,django__django-13551,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,14,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13568,django__django-13568,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,6,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13569,django__django-13569,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,24,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13590,django__django-13590,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,11,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13658,django__django-13658,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,9,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13670,django__django-13670,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,15,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13741,django__django-13741,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,9,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13786,django__django-13786,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,11,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13794,django__django-13794,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,17,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13807,django__django-13807,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,6,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13809,django__django-13809,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,13,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13810,django__django-13810,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,7,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13820,django__django-13820,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,7,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13821,django__django-13821,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,15,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13837,django__django-13837,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,8,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13925,django__django-13925,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,10,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13933,django__django-13933,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,14,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13964,django__django-13964,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,59,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14007,django__django-14007,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,17,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14011,django__django-14011,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,10,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14017,django__django-14017,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,23,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14034,django__django-14034,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,17,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14053,django__django-14053,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,13,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14089,django__django-14089,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,31,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14122,django__django-14122,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,51,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14140,django__django-14140,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,14,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14155,django__django-14155,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,10,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14170,django__django-14170,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,16,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14238,django__django-14238,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,10,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14311,django__django-14311,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,9,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14315,django__django-14315,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,5,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14349,django__django-14349,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,14,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14351,django__django-14351,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,19,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14373,django__django-14373,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,8,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14376,django__django-14376,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,6,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14404,django__django-14404,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,6,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14434,django__django-14434,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,12,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14493,django__django-14493,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,12,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14500,django__django-14500,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,10,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14534,django__django-14534,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,16,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14539,django__django-14539,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,8,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14559,django__django-14559,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,10,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14580,django__django-14580,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,22,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14608,django__django-14608,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,33,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14631,django__django-14631,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,45,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14672,django__django-14672,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,23,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14725,django__django-14725,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,31,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14752,django__django-14752,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,4,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14765,django__django-14765,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,6,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14771,django__django-14771,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,20,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14787,django__django-14787,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,11,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14792,django__django-14792,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,11,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14855,django__django-14855,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,12,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14915,django__django-14915,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,27,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14999,django__django-14999,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,10,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-15022,django__django-15022,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,7,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-15037,django__django-15037,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,24,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-15098,django__django-15098,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,33,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-15103,django__django-15103,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,12,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-15104,django__django-15104,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,24,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-15127,django__django-15127,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,7,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-15128,django__django-15128,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,14,Submitted
