run_id,seg,label,n_frag_total,n_steps_total
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-10914,reason_sent,0,170,19
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-10973,reason_sent,0,43,5
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-10999,reason_sent,1,300,16
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11066,reason_sent,0,37,5
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11087,reason_sent,1,592,12
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11095,reason_sent,0,41,7
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11099,reason_sent,0,543,14
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11119,reason_sent,0,76,9
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11133,reason_sent,0,278,19
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11138,reason_sent,1,674,24
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11141,reason_sent,1,197,19
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11149,reason_sent,1,769,14
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11163,reason_sent,0,91,10
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11179,reason_sent,0,45,5
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11206,reason_sent,1,574,11
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11211,reason_sent,1,358,19
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11239,reason_sent,0,709,60
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11265,reason_sent,1,130,13
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11276,reason_sent,0,295,18
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11292,reason_sent,0,435,16
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11299,reason_sent,0,198,24
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11333,reason_sent,1,234,11
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11400,reason_sent,1,506,28
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11433,reason_sent,1,263,11
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11451,reason_sent,0,162,5
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11477,reason_sent,1,739,16
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11490,reason_sent,1,179,20
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11532,reason_sent,0,227,10
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11551,reason_sent,0,220,9
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11555,reason_sent,1,141,18
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11603,reason_sent,1,91,8
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11728,reason_sent,1,643,19
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11734,reason_sent,1,471,35
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11740,reason_sent,0,167,17
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11749,reason_sent,1,150,16
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11790,reason_sent,1,175,13
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11815,reason_sent,0,144,8
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11820,reason_sent,1,214,10
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11848,reason_sent,0,171,8
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11880,reason_sent,0,128,14
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11885,reason_sent,1,287,28
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11951,reason_sent,0,284,9
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11964,reason_sent,1,985,41
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11999,reason_sent,0,129,20
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-12039,reason_sent,0,598,6
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-12050,reason_sent,0,115,12
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-12125,reason_sent,1,712,28
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-12143,reason_sent,0,136,12
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-12155,reason_sent,0,227,8
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-12193,reason_sent,0,255,14
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-12209,reason_sent,0,341,15
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-12262,reason_sent,0,458,13
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-12273,reason_sent,1,408,19
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-12276,reason_sent,0,138,15
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-12304,reason_sent,1,48,9
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-12308,reason_sent,1,488,17
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-12325,reason_sent,1,644,40
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-12406,reason_sent,1,436,28
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-12419,reason_sent,0,243,17
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-12663,reason_sent,1,792,39
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-12708,reason_sent,0,245,21
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-12713,reason_sent,0,152,8
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-12741,reason_sent,0,71,12
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-12754,reason_sent,1,285,27
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-12774,reason_sent,0,327,15
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-12858,reason_sent,1,742,32
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-12965,reason_sent,1,412,26
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13012,reason_sent,0,162,25
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13023,reason_sent,1,182,12
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13028,reason_sent,0,176,14
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13033,reason_sent,0,1128,33
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13089,reason_sent,0,42,5
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13109,reason_sent,0,85,14
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13112,reason_sent,0,718,26
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13121,reason_sent,0,573,17
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13128,reason_sent,0,437,16
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13158,reason_sent,0,236,12
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13195,reason_sent,1,321,25
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13212,reason_sent,1,235,26
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13279,reason_sent,0,370,17
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13297,reason_sent,0,211,8
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13315,reason_sent,0,73,8
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13343,reason_sent,0,317,17
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13344,reason_sent,1,1225,13
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13346,reason_sent,1,377,12
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13363,reason_sent,0,57,7
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13401,reason_sent,1,394,21
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13406,reason_sent,1,320,29
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13410,reason_sent,0,72,8
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13417,reason_sent,0,153,18
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13449,reason_sent,0,524,33
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13512,reason_sent,0,241,20
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13513,reason_sent,1,158,16
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13516,reason_sent,0,982,51
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13551,reason_sent,0,376,14
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13568,reason_sent,1,841,6
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13569,reason_sent,0,244,24
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13590,reason_sent,1,131,11
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13658,reason_sent,0,4580,9
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13670,reason_sent,0,118,15
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13741,reason_sent,1,79,9
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13786,reason_sent,0,568,11
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13794,reason_sent,1,267,17
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13807,reason_sent,1,49,6
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13809,reason_sent,1,105,13
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13810,reason_sent,1,274,7
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13820,reason_sent,0,405,7
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13821,reason_sent,0,249,15
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13837,reason_sent,0,322,8
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13925,reason_sent,1,357,10
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13933,reason_sent,0,456,14
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13964,reason_sent,1,915,59
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14007,reason_sent,1,351,17
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14011,reason_sent,1,242,10
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14017,reason_sent,1,283,23
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14034,reason_sent,1,438,17
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14053,reason_sent,0,565,13
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14089,reason_sent,0,508,31
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14122,reason_sent,1,702,51
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14140,reason_sent,0,436,14
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14155,reason_sent,1,391,10
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14170,reason_sent,1,152,16
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14238,reason_sent,0,202,10
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14311,reason_sent,1,517,9
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14315,reason_sent,1,34,5
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14349,reason_sent,0,98,14
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14351,reason_sent,1,228,19
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14373,reason_sent,0,55,8
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14376,reason_sent,1,28,6
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14404,reason_sent,1,37,6
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14434,reason_sent,0,109,12
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14493,reason_sent,0,250,12
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14500,reason_sent,1,496,10
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14534,reason_sent,1,366,16
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14539,reason_sent,0,679,8
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14559,reason_sent,0,89,10
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14580,reason_sent,0,171,22
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14608,reason_sent,0,228,33
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14631,reason_sent,1,539,45
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14672,reason_sent,0,193,23
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14725,reason_sent,1,257,31
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14752,reason_sent,1,194,4
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14765,reason_sent,0,160,6
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14771,reason_sent,0,200,20
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14787,reason_sent,0,140,11
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14792,reason_sent,1,263,11
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14855,reason_sent,0,165,12
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14915,reason_sent,0,163,27
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14999,reason_sent,0,125,10
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-15022,reason_sent,1,61,7
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-15037,reason_sent,1,183,24
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-15098,reason_sent,1,929,33
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-15103,reason_sent,0,294,12
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-15104,reason_sent,0,183,24
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-15127,reason_sent,1,56,7
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-15128,reason_sent,1,535,14
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-15161,reason_sent,1,378,27
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-15252,reason_sent,1,574,18
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-15268,reason_sent,0,783,13
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-15277,reason_sent,0,226,16
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-15278,reason_sent,0,126,9
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-15280,reason_sent,1,872,59
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-15315,reason_sent,0,268,23
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-15368,reason_sent,0,48,5
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-15375,reason_sent,0,705,22
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-15380,reason_sent,0,120,17
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-15382,reason_sent,1,1066,62
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-15467,reason_sent,0,72,8
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-15499,reason_sent,0,116,11
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-15503,reason_sent,1,809,9
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-15525,reason_sent,0,508,9
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-15554,reason_sent,1,828,71
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-15561,reason_sent,1,696,21
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-15563,reason_sent,1,743,44
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-15569,reason_sent,0,28,5
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-15572,reason_sent,0,83,7
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-15629,reason_sent,1,464,24
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-15695,reason_sent,1,568,7
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-15731,reason_sent,0,126,19
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-15732,reason_sent,1,181,26
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-15741,reason_sent,0,152,17
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-15814,reason_sent,0,40,4
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-15851,reason_sent,0,67,9
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-15863,reason_sent,1,592,17
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-15916,reason_sent,1,538,15
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-15930,reason_sent,0,332,20
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-15957,reason_sent,1,705,51
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-15973,reason_sent,1,260,27
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-15987,reason_sent,0,148,11
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-16032,reason_sent,0,328,32
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-16082,reason_sent,0,147,20
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-16100,reason_sent,0,320,16
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-16116,reason_sent,0,174,12
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-16136,reason_sent,0,670,5
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-16139,reason_sent,0,176,9
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-16145,reason_sent,0,106,7
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-16255,reason_sent,0,25,5
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-16256,reason_sent,1,232,25
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-16263,reason_sent,1,363,18
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-16315,reason_sent,1,520,40
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-16333,reason_sent,0,73,9
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-16429,reason_sent,0,117,14
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-16454,reason_sent,1,600,8
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-16485,reason_sent,0,461,14
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-16493,reason_sent,0,278,20
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-16502,reason_sent,1,1448,30
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-16527,reason_sent,0,47,6
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-16560,reason_sent,1,500,22
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-16569,reason_sent,0,49,7
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-16595,reason_sent,0,129,11
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-16612,reason_sent,0,36,4
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-16631,reason_sent,1,779,27
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-16642,reason_sent,1,234,14
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-16661,reason_sent,0,714,10
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-16662,reason_sent,0,177,10
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-16667,reason_sent,1,119,16
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-16801,reason_sent,0,63,7
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-16819,reason_sent,0,488,21
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-16877,reason_sent,1,55,7
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-16899,reason_sent,0,559,13
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-16901,reason_sent,0,261,13
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-16938,reason_sent,1,74,7
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-16950,reason_sent,1,381,14
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-17029,reason_sent,0,46,8
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-17084,reason_sent,0,364,22
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-17087,reason_sent,1,1246,24
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-7530,reason_sent,0,445,11
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-9296,reason_sent,0,369,13
20250726_mini-v1.0.0_gemini-2.5-pro/matplotlib__matplotlib-13989,reason_sent,0,167,16
20250726_mini-v1.0.0_gemini-2.5-pro/matplotlib__matplotlib-14623,reason_sent,1,310,21
20250726_mini-v1.0.0_gemini-2.5-pro/matplotlib__matplotlib-20488,reason_sent,1,196,12
20250726_mini-v1.0.0_gemini-2.5-pro/matplotlib__matplotlib-20676,reason_sent,1,337,45
20250726_mini-v1.0.0_gemini-2.5-pro/matplotlib__matplotlib-20826,reason_sent,0,474,59
20250726_mini-v1.0.0_gemini-2.5-pro/matplotlib__matplotlib-20859,reason_sent,0,69,9
20250726_mini-v1.0.0_gemini-2.5-pro/matplotlib__matplotlib-21568,reason_sent,1,421,17
20250726_mini-v1.0.0_gemini-2.5-pro/matplotlib__matplotlib-22719,reason_sent,0,3550,13
20250726_mini-v1.0.0_gemini-2.5-pro/matplotlib__matplotlib-22865,reason_sent,0,303,20
20250726_mini-v1.0.0_gemini-2.5-pro/matplotlib__matplotlib-22871,reason_sent,1,162,13
20250726_mini-v1.0.0_gemini-2.5-pro/matplotlib__matplotlib-23299,reason_sent,1,392,30
20250726_mini-v1.0.0_gemini-2.5-pro/matplotlib__matplotlib-23314,reason_sent,1,606,35
20250726_mini-v1.0.0_gemini-2.5-pro/matplotlib__matplotlib-23412,reason_sent,0,223,15
20250726_mini-v1.0.0_gemini-2.5-pro/matplotlib__matplotlib-23476,reason_sent,1,921,47
20250726_mini-v1.0.0_gemini-2.5-pro/matplotlib__matplotlib-24026,reason_sent,0,330,10
20250726_mini-v1.0.0_gemini-2.5-pro/matplotlib__matplotlib-24149,reason_sent,0,168,15
20250726_mini-v1.0.0_gemini-2.5-pro/matplotlib__matplotlib-24177,reason_sent,1,687,24
20250726_mini-v1.0.0_gemini-2.5-pro/matplotlib__matplotlib-24570,reason_sent,1,276,19
20250726_mini-v1.0.0_gemini-2.5-pro/matplotlib__matplotlib-24627,reason_sent,0,788,39
20250726_mini-v1.0.0_gemini-2.5-pro/matplotlib__matplotlib-24637,reason_sent,0,674,32
20250726_mini-v1.0.0_gemini-2.5-pro/matplotlib__matplotlib-24870,reason_sent,1,365,34
20250726_mini-v1.0.0_gemini-2.5-pro/matplotlib__matplotlib-24970,reason_sent,0,408,16
20250726_mini-v1.0.0_gemini-2.5-pro/matplotlib__matplotlib-25122,reason_sent,0,651,35
20250726_mini-v1.0.0_gemini-2.5-pro/matplotlib__matplotlib-25287,reason_sent,0,376,25
20250726_mini-v1.0.0_gemini-2.5-pro/matplotlib__matplotlib-25311,reason_sent,0,421,32
20250726_mini-v1.0.0_gemini-2.5-pro/matplotlib__matplotlib-25332,reason_sent,0,231,20
20250726_mini-v1.0.0_gemini-2.5-pro/matplotlib__matplotlib-25479,reason_sent,1,725,23
20250726_mini-v1.0.0_gemini-2.5-pro/matplotlib__matplotlib-25775,reason_sent,1,528,52
20250726_mini-v1.0.0_gemini-2.5-pro/matplotlib__matplotlib-25960,reason_sent,1,869,35
20250726_mini-v1.0.0_gemini-2.5-pro/matplotlib__matplotlib-26113,reason_sent,0,301,13
20250726_mini-v1.0.0_gemini-2.5-pro/matplotlib__matplotlib-26208,reason_sent,1,1214,46
20250726_mini-v1.0.0_gemini-2.5-pro/matplotlib__matplotlib-26291,reason_sent,1,87,7
20250726_mini-v1.0.0_gemini-2.5-pro/matplotlib__matplotlib-26342,reason_sent,0,232,20
20250726_mini-v1.0.0_gemini-2.5-pro/matplotlib__matplotlib-26466,reason_sent,1,142,22
20250726_mini-v1.0.0_gemini-2.5-pro/mwaskom__seaborn-3069,reason_sent,0,407,25
20250726_mini-v1.0.0_gemini-2.5-pro/mwaskom__seaborn-3187,reason_sent,1,539,27
20250726_mini-v1.0.0_gemini-2.5-pro/pallets__flask-5014,reason_sent,0,51,12
20250726_mini-v1.0.0_gemini-2.5-pro/psf__requests-1142,reason_sent,0,346,15
20250726_mini-v1.0.0_gemini-2.5-pro/psf__requests-1724,reason_sent,1,264,27
20250726_mini-v1.0.0_gemini-2.5-pro/psf__requests-1766,reason_sent,1,403,15
20250726_mini-v1.0.0_gemini-2.5-pro/psf__requests-1921,reason_sent,1,307,11
20250726_mini-v1.0.0_gemini-2.5-pro/psf__requests-2317,reason_sent,1,5104,12
20250726_mini-v1.0.0_gemini-2.5-pro/psf__requests-2931,reason_sent,1,656,28
20250726_mini-v1.0.0_gemini-2.5-pro/psf__requests-5414,reason_sent,1,764,17
20250726_mini-v1.0.0_gemini-2.5-pro/psf__requests-6028,reason_sent,1,459,17
20250726_mini-v1.0.0_gemini-2.5-pro/pydata__xarray-2905,reason_sent,0,1014,38
20250726_mini-v1.0.0_gemini-2.5-pro/pydata__xarray-3095,reason_sent,0,250,29
20250726_mini-v1.0.0_gemini-2.5-pro/pydata__xarray-3151,reason_sent,0,103,13
20250726_mini-v1.0.0_gemini-2.5-pro/pydata__xarray-3305,reason_sent,1,570,82
20250726_mini-v1.0.0_gemini-2.5-pro/pydata__xarray-3677,reason_sent,0,257,15
20250726_mini-v1.0.0_gemini-2.5-pro/pydata__xarray-3993,reason_sent,0,176,14
20250726_mini-v1.0.0_gemini-2.5-pro/pydata__xarray-4075,reason_sent,0,143,10
20250726_mini-v1.0.0_gemini-2.5-pro/pydata__xarray-4094,reason_sent,1,237,18
20250726_mini-v1.0.0_gemini-2.5-pro/pydata__xarray-4356,reason_sent,0,904,38
